id,title,score,author,created,num_comments,distinguished,edited
iak8n9,Missing Toddler Found Safe With Cocker Spaniel Mix After Spending 24 Hours Lost in the Woods. The 3-year-old was found safe after she wandered into the forest alone on Sunday evening following the family pet.,34871,Sariel007,08/15/2020,439,,False
iaw9h0,"Grey reef sharks form long-term friendships, study reveals",258,Sariel007,08/16/2020,3,,False
ia83l5,"Golden eagles have bred at a ""rewilding"" estate in the Scottish Highlands for the first time in 40 years. An eagle pair successfully reared the chick at an artificial eyrie on the 10,000-acre Trees for Life Dundreggan estate.",18940,Sariel007,08/15/2020,147,,False
ib0k6w,To celebrate National Dog Day—that's August 26—Los Angeles' Golden Road Brewing will deliver beer to customers' doors using perhaps the most lovable method possible: adoptable dogs.,15,Sariel007,08/16/2020,1,,False
ianqv3,Germany's biggest union calls for 4-day week to save thousands of jobs,146,ratskim,08/16/2020,5,,False
ib19lw,"Bernie Sanders Defends Biden-Harris Ticket From Progressive Criticism: ""Trump Must Be Defeated""",5,auscrisos,08/16/2020,2,,False
iavs3z,Twin Sisters Who Married Twin Brothers Announce Pregnancies,9,sack7niper,08/16/2020,11,,False
i9vfyx,"Queensland becomes the 1st Australian State to criminalise gay conversion therapy, after state politicians voted to make the “highly destructive & unethical” practice illegal. “Being LGBTIQ is not an affliction or disease that requires medical treatment,” the state’s Health Minister said.",23523,Sariel007,08/14/2020,1044,,False
ia87dh,Dog adoptions and sales soar during the pandemic,91,lightheat,08/15/2020,20,,False
i9whzv,California Court Rules Amazon Can Be Liable For Defective Goods Sold On Its Marketplace,1234,auscrisos,08/14/2020,49,,False
i9z79a,Belarus riot police drop shields and are embraced by anti-government protesters,277,WeirdWyr,08/14/2020,16,,False
ia0mxx,"$128,000 lottery ticket purchased moments before cutoff time",46,monica_b1998,08/14/2020,2,,False
i9x8y6,B.C. girl celebrates 6th birthday with letters from around the world,57,Paper_Rain,08/14/2020,0,,False
i9m7cl,Family rescues dog nearly 4 miles offshore in Lake Michigan. The family was able to have the dog scanned for a microchip. The owners later were located and reunited with their dog.,145,Lightfiend,08/14/2020,4,,False
i9nhyv,A homeless man hadn’t seen his family in 20 years. This couple reunited them.,113,washingtonpost,08/14/2020,3,,False
i90mk2,Kenya's Elephant Numbers Double Over Three Decades!,18230,TherealTushsar,08/13/2020,130,,False
i9n84a,"Dennis Quaid, the actor, adopts Dennis Quaid, the cat",91,BlazeLikeMeteors,08/14/2020,7,,False
i8td9j,Stray dog who visited car dealership every day gets adopted and lands dream job as a greeter at the dealership,28748,cyanocittaetprocyon,08/13/2020,272,,False
i9c77u,"""Catching plague locusts with their own scent""",87,,08/13/2020,4,,False
i957n0,"Video shows officer rescuing man in wheelchair from tracks within seconds of train barreling past [Officer Erika Urrea of the Lodi Police Department, California]",217,BlankVerse,08/13/2020,27,,False
i980mm,Global offshore wind industry takes huge strides,129,Wildlyeco,08/13/2020,4,,False
i927cr,Colorado share stimulus money to support small business,192,The_real_douchcanoe_,08/13/2020,6,,False
i8ytet,'Extinct' large blue butterfly successfully reintroduced to UK,315,Lt_Quill,08/13/2020,4,,False
i8lrm1,First-grader starts foundation to help feed the homeless in downtown St. Louis,6734,hildebrand_rarity,08/12/2020,130,,False
i8q8d3,New treatments spur sharp reduction in lung cancer mortality rate,2010,DeliciousBowler2041,08/12/2020,46,,False
i958i2,"Annapolis receives donation of 40,000 surgical masks from Changsha, China",58,speckz,08/13/2020,4,,False
i91aqd,Tony Hawk's Pro Skater 1 & 2 Renames Trick To Properly Honor Its Deaf Creator,68,AmericasComic,08/13/2020,3,,False
i8zm41,"Michigan grandma, 103, gets first tattoo to cross it off bucket list. The centenarian chose a green frog design.",85,Lightfiend,08/13/2020,4,,False
i8b4sp,"Nigerian Boy, 11, Earns Scholarship from New York’s ABT Jacqueline Kennedy Onassis School of Dance After Video of Him Dancing in the Rain Goes Viral",13394,jsnelson21,08/12/2020,201,,False
i8z6fc,Mrs Lambkin knits woolly jumpers for orphaned lambs while saving herself from COVID-19 boredom,54,guanaco55,08/13/2020,0,,False
i90kyp,"‘AeroNabs’ Promise Powerful, Inhalable Protection Against COVID-19",38,JoseTwitterFan,08/13/2020,1,,False
i8b8jd,Elephant baby boom in Kenya's Amboseli Park,3142,modernafrican,08/12/2020,29,,False
i89zbi,Elephant chained in a Pakistan zoo for 35 years to be released,1852,robbiekhan,08/12/2020,28,,False
i8kahy,Firefighter fosters dog he saved from flames,168,kojima100,08/12/2020,4,,False
i83e37,Indian company to offer leave for tough times of menstruation - a period leave policy!,6980,OrangeMonkey42,08/11/2020,342,,False
i7z8pz,"Cities cannot fine homeless people for living outside, U.S. judge rules in Grants Pass case",25649,TrumpDumper,08/11/2020,842,,False
i8hhq3,Back from the dead? Stem cells give hope for revival of Malaysia's extinct rhinos,132,Sariel007,08/12/2020,3,,False
i8ej55,Beer unsold during lockdown has been turned into renewable energy,121,Sariel007,08/12/2020,7,,False
i8g80b,"Book drive provides local kids in foster care with books, backpacks",73,Sariel007,08/12/2020,0,,False
i7mu1q,"A team of chemical engineers from Australia and China has developed a sustainable, solar-powered way to desalinate water in just 30 minutes. This process can create close to 40 gallons of clean drinking water per kilogram of filtration material and can be used for multiple cycles.",15763,katana_kusanagi,08/11/2020,261,,False
i9bawv,"Trump announces 'Historic Peace Agreement' between Israel, UAE",0,pocketbookashtray,08/13/2020,26,,False
i81syh,More trees!,113,NoTrickWick,08/11/2020,3,,False
i7s2za,"Free internet coming for 35,000 Philly families: city, schools, Comcast to spend $17M on digital equity plan",252,Lightfiend,08/11/2020,26,,False
i7sdme,$6.3 million granted to South Carolina and Georgia to help end Veteran homelessness,75,thinkB4WeSpeak,08/11/2020,5,,False
i750dh,"Threatened beluga whales transported 6,000 miles from captivity in China to new ocean refuge",8677,Sariel007,08/10/2020,162,,False
i75csa,Apple commits to be 100 percent carbon neutral for its supply chain and products by 2030,7877,Lightfiend,08/10/2020,287,,False
i741h2,"Marty's Place Is The Retirement Center For Senior Dogs. The Non-Profit Combines Home-Like Aspects To Accommodate The Dogs Which Range From 7 Years & Older. ""The Chances Of An Older Dog Being Adopted And Leaving A Shelter Is Not As Great As For A Puppy So We Decided We Wanted To Help Senior Dogs,""",11999,Sariel007,08/10/2020,145,,False
i7pb1d,'Aaron goes wherever we go': Friends carry man in wheelchair to view waterfall,113,switch182,08/11/2020,6,,False
i7rk1s,Disney Makes History With First LGBTQ+ Lead Character in 'Owl House',44,TickleLife,08/11/2020,28,,False
i7qcxt,Rhode Island boy digs up massive 2 1/2-pound mollusk,47,FantasticLine,08/11/2020,3,,False
i7k5yf,A new study finds that giving kids deworming treatment still benefits them 20 years later,97,brandenharvey,08/10/2020,0,,False
i6xfd6,New Drug Drastically Reduces Multiple Sclerosis Symptoms In Phase III Trial,11168,dford26,08/09/2020,291,,False
i7l7fh,#ZimbabweanLivesMatter: Stars and politicians including Ice Cube and Ellen Johnson Sirleaf have spoken out against human rights abuses,45,brandenharvey,08/11/2020,0,,False
i7lmvc,Chihuahua saves owner's life during stroke on houseboat,31,thewiseherb,08/11/2020,4,,False
i7868j,"In Rain, Mumbai(India) Woman Stood For 7 Hours Near (Open)Manhole To Save People",171,lifemoments,08/10/2020,9,,False
